^SAMPLE = GSM154769
AFFX-r2-Hs18SrRNA-3_s_at	327.12033	0.056152344
AFFX-r2-Hs18SrRNA-M_x_at	188.42642	0.0012207031
AFFX-r2-Hs18SrRNA-5_at	562.7483	0.095214844
AFFX-r2-Hs28SrRNA-3_at	195.14618	0.095214844
AFFX-r2-Hs28SrRNA-M_at	102.84291	0.24609375
AFFX-r2-Hs28SrRNA-5_at	68.06446	0.56762695
200000_s_at	1267.0656	2.4414062E-4
200001_at	2332.0107	0.001953125
200002_at	7789.681	0.03125
200003_s_at	10156.569	0.0625
200004_at	7979.345	9.765625E-4
200005_at	3325.537	2.4414062E-4
200006_at	6345.014	2.4414062E-4
200007_at	5891.1514	4.8828125E-4
200008_s_at	3862.9663	2.4414062E-4
200009_at	6967.0596	4.8828125E-4
200010_at	7122.3076	0.0078125
200011_s_at	2270.52	4.8828125E-4
200012_x_at	7361.573	0.03125
200013_at	9366.821	0.00390625
200014_s_at	2902.8462	2.4414062E-4
200015_s_at	4363.3022	2.4414062E-4
200016_x_at	8956.382	0.00390625
200017_at	4619.9937	0.001953125
200018_at	7325.234	0.015625
200019_s_at	10823.424	0.015625
200020_at	1852.6938	2.4414062E-4
200021_at	1289.7146	0.0625
200022_at	3955.698	0.015625
200023_s_at	7346.649	2.4414062E-4
200024_at	3341.7544	0.046875
200025_s_at	10231.1045	0.0078125
200026_at	6212.507	0.0078125
200027_at	3982.0605	2.4414062E-4
200028_s_at	2185.5483	2.4414062E-4
200029_at	8352.247	0.03125
200030_s_at	8580.924	2.4414062E-4
200031_s_at	10495.876	0.25
200032_s_at	7615.905	0.015625
200033_at	5909.7383	2.4414062E-4
200034_s_at	7425.2783	0.001953125
200035_at	619.9374	0.014160156
200036_s_at	9889.09	0.0078125
200037_s_at	2558.2346	4.8828125E-4
200038_s_at	9897.8545	0.015625
200039_s_at	1347.6425	2.4414062E-4
200040_at	2952.2593	2.4414062E-4
200041_s_at	3797.6255	7.324219E-4
200042_at	2639.1724	2.4414062E-4
200043_at	5454.2266	2.4414062E-4
200044_at	2407.2625	2.4414062E-4
200045_at	1564.4902	7.324219E-4
200046_at	3873.7979	2.4414062E-4
200047_s_at	2674.013	2.4414062E-4
200048_s_at	3809.3054	2.4414062E-4
200049_at	710.3795	0.0012207031
200050_at	1293.9266	2.4414062E-4
200051_at	486.73642	0.0012207031
200052_s_at	2451.1858	2.4414062E-4
200053_at	1156.0475	2.4414062E-4
200054_at	385.74442	0.001953125
200055_at	1486.6569	2.4414062E-4
200056_s_at	669.12384	2.4414062E-4
200057_s_at	4210.0356	2.4414062E-4
200058_s_at	2251.6157	2.4414062E-4
200059_s_at	7835.233	9.765625E-4
200060_s_at	1962.8738	0.001953125
200061_s_at	8870.197	0.0625
200062_s_at	7444.514	0.125
200063_s_at	6877.812	0.001953125
200064_at	10036.968	0.0029296875
200065_s_at	4243.2373	2.4414062E-4
200066_at	1385.3677	2.4414062E-4
200067_x_at	4106.009	2.4414062E-4
200068_s_at	5864.4136	9.765625E-4
200069_at	392.3264	7.324219E-4
200070_at	685.2399	0.0029296875
200071_at	752.50055	0.0012207031
200072_s_at	3364.5515	2.4414062E-4
200073_s_at	2580.0996	4.8828125E-4
200074_s_at	6910.607	9.765625E-4
200075_s_at	2746.211	2.4414062E-4
200076_s_at	749.83246	7.324219E-4
200077_s_at	7581.592	0.001953125
200078_s_at	2462.11	0.001953125
200079_s_at	3301.8896	2.4414062E-4
200080_s_at	10049.716	2.4414062E-4
200081_s_at	14687.883	0.0625
200082_s_at	8788.5625	0.00390625
200083_at	1572.2289	0.0012207031
200084_at	3442.294	2.4414062E-4
200085_s_at	3998.5076	2.4414062E-4
200086_s_at	3853.8481	4.8828125E-4
200087_s_at	6047.1777	2.4414062E-4
200088_x_at	10631.758	0.125
200089_s_at	7875.8228	0.00390625
200090_at	3530.613	2.4414062E-4
200091_s_at	6199.888	4.8828125E-4
200092_s_at	11714.088	0.00390625
200093_s_at	4732.0757	4.8828125E-4
200094_s_at	4839.173	0.001953125
200095_x_at	8257.13	0.0625
200096_s_at	3287.2263	2.4414062E-4
200097_s_at	3995.7783	2.4414062E-4
200098_s_at	2682.8306	0.0012207031
200099_s_at	12700.749	0.0078125
1007_s_at	1609.8679	9.5939636E-4
1053_at	368.71527	0.002616942
117_at	204.1779	0.024710953
121_at	1154.7947	0.0115478635
1255_g_at	69.8962	0.06686497
1294_at	189.41672	0.04899466
1316_at	98.0736	0.03133571
1320_at	217.37755	0.027859688
1405_i_at	11.98425	0.81865704
1431_at	178.60718	0.0016022921
1438_at	267.53992	0.10730094
1487_at	438.20236	0.04899466
1494_f_at	289.41608	0.06686497
1598_g_at	3292.959	5.617142E-4
160020_at	590.07043	0.043967783
1729_at	403.91852	4.6753883E-4
1773_at	158.92258	0.18968731
177_at	419.12753	0.0016022921
179_at	606.22455	0.08133668
1861_at	314.55542	0.014936566
2028_s_at	171.10728	0.024710953
243_g_at	1616.6512	2.655983E-4
266_s_at	1027.8457	2.1886826E-4
31637_s_at	871.6182	0.1279943
31799_at	134.04907	0.0016022921
31807_at	751.59827	0.002616942
31826_at	697.4286	0.0011410713
31835_at	77.72465	0.15052712
31837_at	585.00714	0.06041932
31845_at	298.08813	0.007542908
31846_at	1672.0449	0.026737213
31861_at	591.1026	0.043967783
31874_at	1250.163	3.2150745E-4
32029_at	227.43245	0.16293502
32032_at	300.76047	0.002616942
32042_at	109.26672	0.0013538599
32062_at	146.51732	0.03133571
32069_at	342.9683	0.002227664
32088_at	52.427452	0.017000496
32091_at	329.7336	2.655983E-4
32094_at	295.5988	0.003066659
32099_at	285.39917	0.009985447
320_at	173.76595	0.0048627853
32128_at	188.30751	0.01144737
32137_at	964.57996	0.0011410713
32209_at	822.71185	0.0011827946
32259_at	406.08975	3.8820505E-4
32402_s_at	29.58691	0.30254745
32502_at	158.92462	0.18968731
32540_at	130.3006	0.004180312
32541_at	138.58598	0.003066659
32625_at	238.47427	0.1171605
32699_s_at	263.65912	0.10730094
32723_at	168.61482	4.6753883E-4
32811_at	612.7017	0.024710953
32836_at	1106.3141	0.013091803
32837_at	505.31317	0.0072982907
33132_at	272.65607	0.04899466
